group,shape,mode,ep0,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
heldA,heldA_0,scratch,0.5381731986999512,0.2852563261985779,0.27561110258102417,0.25360867381095886,0.23604542016983032,0.21604804694652557,0.19610078632831573,0.18518221378326416,0.1725538969039917,0.16582491993904114,0.15910866856575012
heldA,heldA_0,GP,0.05061192438006401,0.03053699992597103,0.029498348012566566,0.027664050459861755,0.02734423242509365,0.026458419859409332,0.02588719129562378,0.025511035695672035,0.024829858914017677,0.024860955774784088,0.024779116734862328
heldA,heldA_0,spec-A,0.05061192438006401,0.030205393210053444,0.02813825197517872,0.026897480711340904,0.026162216439843178,0.025808701291680336,0.025864841416478157,0.025612812489271164,0.02532268315553665,0.02502596192061901,0.02492733672261238
heldA,heldA_1,scratch,0.5122752785682678,0.29564952850341797,0.281813383102417,0.26359060406684875,0.24849508702754974,0.2357543706893921,0.2154950499534607,0.20246338844299316,0.19091607630252838,0.18394583463668823,0.17554466426372528
heldA,heldA_1,GP,0.05027556046843529,0.03262310102581978,0.0290430448949337,0.028356295078992844,0.028196243569254875,0.027297159656882286,0.02702895924448967,0.0264943428337574,0.026253078132867813,0.02571994625031948,0.02571389451622963
heldA,heldA_1,spec-A,0.05027556046843529,0.03141280263662338,0.03139291703701019,0.028383303433656693,0.028202082961797714,0.027153344824910164,0.02688971534371376,0.026720864698290825,0.026203148066997528,0.025979598984122276,0.026054099202156067
heldA,heldA_2,scratch,0.5094857811927795,0.2934962511062622,0.2757115364074707,0.25843119621276855,0.2415573000907898,0.22449953854084015,0.206668883562088,0.19250831007957458,0.18024136126041412,0.17256495356559753,0.16789747774600983
heldA,heldA_2,GP,0.05055250972509384,0.029744360595941544,0.029414024204015732,0.02751203067600727,0.02682781219482422,0.026463257148861885,0.02620866894721985,0.025442833080887794,0.02483699470758438,0.024700159206986427,0.02475719153881073
heldA,heldA_2,spec-A,0.05055250972509384,0.029846547171473503,0.02840585447847843,0.02722279727458954,0.027355534955859184,0.02626318298280239,0.025639621540904045,0.025159843266010284,0.02515745349228382,0.024908753111958504,0.024912679567933083
heldB,heldB_0,scratch,0.5417702198028564,0.3085516095161438,0.2889375388622284,0.26702138781547546,0.2514212429523468,0.23378880321979523,0.2117936611175537,0.19534139335155487,0.1828647404909134,0.17362427711486816,0.16708625853061676
heldB,heldB_0,GP,0.6812516450881958,0.18681637942790985,0.156675785779953,0.13989797234535217,0.1311560720205307,0.12462987005710602,0.12077077478170395,0.1176358312368393,0.1161092147231102,0.11418527364730835,0.11293131113052368
